image	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription	en_translation
102_0	1	162161519.jpg	"102_0_01_210929-121516_bem_81c_elicit_0.wav
"	11	male	4.378	16000	vnd.wave	bem	bem	Bawishi no mwana baleangala mumenshi	A father and a child are playing in water.
102_1	2	162161519.jpg	"102_1_02_210929-121338_bem_b21_elicit_0.wav
"	12	male	8.144	16000	vnd.wave	bem	bmb	Bawishi no mwana bene balemoneka aba nsansa sana, bushe kuti caba ati nabomfwa bwino ukula-angala mumenshi aya?	They both seem very happy, could it be because they are playing in water?
102_2	1	162161519.jpg	"102_2_01_210929-121516_bem_81c_elicit_1.wav
"	11	male	12.909	16000	vnd.wave	bem	bem	Ee, kuti caba icansansa, balemoneka aba nsansa pamulandu wakweba ti umwana balemufunda ukusamba	It could be so, they seem happy because the father is teaching the child to swim.
102_3	2	162161519.jpg	"102_3_02_210929-121338_bem_b21_elicit_1.wav
"	12	male	11.343	16000	vnd.wave	bem	bmb	Ninshi umwana wine afwalile ici ico afwele kumuulu, bushe nacikwate ncito cilebomba olo afwele fye?	Why is the child wearing that thing on top, is there any reason or is he just dressed like that?
102_4	1	162161519.jpg	"102_4_01_210929-121516_bem_81c_elicit_2.wav
"	11	male	8.938	16000	vnd.wave	bem	bem	Nacikwate ncito eyo cilebomba, cilemwafwa ukukana nwena mumenshi	There is reason, it is helping the child not to drown.
103_0	1	50194396.jpg	"103_0_01_210929-121756_bem_81c_elicit_0.wav
"	11	male	4.242	16000	vnd.wave	bem	bem	Umwana naime baaka mumuulu	The child has jumped so high up.
103_1	2	50194396.jpg	"103_1_02_210929-121717_bem_b21_elicit_0.wav
"	12	male	13.884	16000	vnd.wave	bem	bmb	Kuli abana nabambi abali kunuma ya uyu mwana uwimine baaka balemoneka nabapoosa sana amano kufyo balecita pafyo baletinika, bushe nifinshi bale-angasha?	They are other kids behind this child that has jumped, they seem to be focused on what they are pressing, what are they playing with?
103_2	1	50194396.jpg	"103_2_01_210929-121756_bem_81c_elicit_1.wav
"	11	male	13.408	16000	vnd.wave	bem	bem	Bale-angasha, umo ali necibotolo ico alenwamo amenshi, umubiye aletamba ifikope pali lamya	They are playing, one with a bottle and drinking water while the other one is watching something on phone.
103_3	2	50194396.jpg	"103_3_02_210929-121717_bem_b21_elicit_1.wav
"	12	male	11.366	16000	vnd.wave	bem	bmb	Nga uyu umbi uusendeme panshi? bushe ninshi asendemene panshi so? bushe cinshi cingalenga?	What of the other one lying down? Why he is lying down? Could there be a reason?
103_4	1	50194396.jpg	"103_4_01_210929-121756_bem_81c_elicit_2.wav
"	11	male	10.663	16000	vnd.wave	bem	bem	Aletuusha, acifuma mukutoloka naena elo lyena ati asendameko atuusheko	He is resting, he is also from jumping so he wants to rest.
104_0	1	4958945147.jpg	"104_0_01_210929-122023_bem_81c_elicit_0.wav
"	11	male	8.78	16000	vnd.wave	bem	bem	Shikulubantu naikala pamupando wa mwinshi pengilile myotoka	A man is siting in front of an entrance of a garage.
104_1	2	4958945147.jpg	"104_1_02_210929-121925_bem_b21_elicit_0.wav
"	12	male	9.369	16000	vnd.wave	bem	bmb	Ngechi cimbayambaya cili kunuma yakwe, cilemoneka kwati cilabombe ncito iikankala sana, bushe ca nshi?	What about the vehicle behind him, it seems to do important work, what does it do?
104_2	1	4958945147.jpg	"104_2_01_210929-122023_bem_81c_elicit_1.wav
"	11	male	12.092	16000	vnd.wave	bem	bem	ici cimbayambaya cili kunuma yakwe, cibomba ukutapilila amenshi ku fikuulwa ifilepya nomulilo	This vehicle is a fire fighting truck.
104_3	2	4958945147.jpg	"104_3_02_210929-121925_bem_b21_elicit_1.wav
"	12	male	9.46	16000	vnd.wave	bem	bmb	So ninshi uyu shikulu wikele pantashi apa eucenshe ici cimotoka? Eubomba incito yakushimyo mulilo?	Is he this man the one that drives it? Is he a fire fighter?
104_4	1	4958945147.jpg	"104_4_01_210929-122023_bem_81c_elicit_2.wav
"	11	male	11.706	16000	vnd.wave	bem	bem	Endita e, eubombo ukucensha, alabomba nababiye elo balafwa-ana	Yes, ofcourse he is the one, he has some colleagues that help him.
105_0	1	128396207.jpg	"105_0_01_210929-122316_bem_81c_elicit_0.wav
"	11	male	5.649	16000	vnd.wave	bem	bem	Umuntu ali pancinga ale-ensha mumusebo	A person is on his bike riding it on the road.
105_1	2	128396207.jpg	"105_1_02_210929-122157_bem_b21_elicit_0.wav
"	12	male	12.863	16000	vnd.wave	bem	bmb	incinga ine iyi naibutusha sana umulumendo yu, alecilika na motoka, elo ninshi motoka ilabuutuka ukucila incinga, bushe nikwisa alelola uko alebutukila?	He is riding it so fast,faster than a vehicle, even though vehicles are faster,where is he rushing to?
105_2	1	128396207.jpg	"105_2_01_210929-122316_bem_81c_elicit_1.wav
"	11	male	9.392	16000	vnd.wave	bem	bem	Talebukila ukuli konse, ale-ensha fye, ukwenda uko aleya	He is not rushing anywhere, he is just riding to wherever he is going.
105_3	2	128396207.jpg	"105_3_02_210929-122157_bem_b21_elicit_1.wav
"	12	male	9.143	16000	vnd.wave	bem	bmb	Ngeci cimpompo afwele ku mutwe? bushe nacikwate ncito iyo cilembomba olo acifwele fye pantu nacitemwa? 	What of the helmet of his head, is there a reason for wearing it or he just likes it?
105_4	1	128396207.jpg	"105_4_01_210929-122316_bem_81c_elicit_2.wav
"	11	male	8.78	16000	vnd.wave	bem	bem	Nakalya, tafwalile ati nacitemwa, acifwalile ukumucingilila kumasanso nga apona!	No, he does not just like it, it is meant to protect him incase he falls.
106_0	1	4393476043.jpg	"106_0_01_210929-122721_bem_81c_elicit_0.wav
"	11	male	8.938	16000	vnd.wave	bem	bem	Ulupwa nalwikala nembwa pacipuna	A family is sited with a dog on a couch.
106_1	2	4393476043.jpg	"106_1_02_210929-122557_bem_b21_elicit_0.wav
"	12	male	15.246	16000	vnd.wave	bem	bmb	Ulupwa lwine luli ulwalingana, bawishi, banyina, umwana umwanakashi elyo no umwana umwaume nomba bushe imbwa nasho ishi pali iyanakashi neyaumme?	This is a complete family, the father, the mother, a girl child and a boy, are the dogs also male and female?
106_2	1	4393476043.jpg	"106_2_01_210929-122721_bem_81c_elicit_1.wav
"	11	male	6.375	16000	vnd.wave	bem	bem	Kuti caba, kuti pabe ya iikota ne lume	It could be so.
106_3	2	4393476043.jpg	"106_3_02_210929-122557_bem_b21_elicit_1.wav
"	12	male	9.506	16000	vnd.wave	bem	bmb	Nomba ninshi amenso ya mbwa yalemonekela aya aka kwati li liti?	But why are the dog eyes as bright as light?
106_4	1	4393476043.jpg	"106_4_01_210929-122721_bem_81c_elicit_2.wav
"	11	male	8.938	16000	vnd.wave	bem	bem	Ico yalemonekela aya aka ca kweba ukuti kuntanshi kwaleba uwalebakopa	They are this bright because there is someone capturing them in front.
107_0	1	6563243819.jpg	"107_0_01_210929-123045_bem_81c_elicit_0.wav
"	11	male	8.78	16000	vnd.wave	bem	bem	Ibumba lya bana mayo na bashi tata lili kuntanshi ya bantu	A group of men and women are standing in front of people.
107_1	2	6563243819.jpg	"107_1_02_210929-123200_bem_b21_elicit_0.wav
"	12	male	7.373	16000	vnd.wave	bem	bmb	Bushe ninshi beminine kuntanshi ya bantu mu musango wa so?	Why are they standing in front of people in this way?
107_2	1	6563243819.jpg	"107_2_01_210929-123045_bem_81c_elicit_1.wav
"	11	male	7.781	16000	vnd.wave	bem	bem	Cipalile ukweba ati ba mushika nyimbo baleimba kuntashi ya bantu	It seems they are musicians performing in front of people.
107_3	2	6563243819.jpg	"107_3_02_210929-123200_bem_b21_elicit_1.wav
"	12	male	10.073	16000	vnd.wave	bem	bmb	Nyimbo nshi baleimba? Bushe kuti baba ni bakemba ba nyimbo mu ncende yama pepo?	What songs are they singing? could they be performers in a church?
107_4	1	6563243819.jpg	"107_4_01_210929-123045_bem_81c_elicit_2.wav
"	11	male	6.965	16000	vnd.wave	bem	bem	Ee cipalile kwati baleimba mwitempele lya mapepo	Yes they are performing inside a church.
108_0	1	2454923455.jpg	"108_0_01_210929-123454_bem_81c_elicit_0.wav
"	11	male	5.127	16000	vnd.wave	bem	bem	Shikulu bantu nasendama pamupando panse	A man is sleeping on a couch outside.
108_1	2	2454923455.jpg	"108_1_02_210929-123335_bem_b21_elicit_0.wav
"	12	male	12.387	16000	vnd.wave	bem	bmb	imisendamine yakwa shikulu bantu uyu tailemoneka iyaibela. Bushe ilifye bwino olo taleumfwa bwino iyo nalwala	The way he is sleeping seems alittle off, could he just be sleeping or is he unwell?
108_2	1	2454923455.jpg	"108_2_01_210929-123454_bem_81c_elicit_1.wav
"	11	male	10.413	16000	vnd.wave	bem	bem	Iyo nakalya teti cishibikwe but ishi mipando bekala nga naunaka wafuma mukubomba 	That's unknown, but these are chairs people sit on when they are tired after working.
108_3	2	2454923455.jpg	"108_3_02_210929-123335_bem_b21_elicit_1.wav
"	12	male	10.164	16000	vnd.wave	bem	bmb	Apa pancende aikele uyu apo eletushisha, bushe ninungama ukutila ukuti paba ni pan'ganda yakwe?	This place is where he is resting, am I right to say this is his place?
108_4	1	2454923455.jpg	"108_4_01_210929-123454_bem_81c_elicit_2.wav
"	11	male	7.055	16000	vnd.wave	bem	bem	Namulungama ni kunuma ya ng'anda yakwe.	Yes, you are right, this is behind his house.
109_0	1	3472331684.jpg	"109_0_01_210929-123730_bem_81c_elicit_0.wav
"	11	male	10.05	16000	vnd.wave	bem	bem	Umwana umukashana aleangala kunuma ya ng'anda	A young girl is playing behind the house.
109_1	2	3472331684.jpg	"109_1_02_210929-123603_bem_b21_elicit_0.wav
"	12	male	6.647	16000	vnd.wave	bem	bmb	Finshi ifi ifyaputika ifileikata umwana umukashana uyo?	What are these things blown things the child is playing with?
109_2	1	3472331684.jpg	"109_2_01_210929-123730_bem_81c_elicit_1.wav
"	11	male	9.574	16000	vnd.wave	bem	bem	Fintu fye baputa ifyakuwamishafye incende ilemoneka iyabukata	These are just blown decorations to make this place look beautiful.
109_3	2	3472331684.jpg	"109_3_02_210929-123603_bem_b21_elicit_1.wav
"	12	male	6.874	16000	vnd.wave	bem	bmb	Ngotu tumbi utulemoneka utwabuta pa ncende iyi ine , bushe kuti twaba twanshi?	What of these white things, what could they be?
109_4	1	3472331684.jpg	"109_4_01_210929-123730_bem_81c_elicit_2.wav
"	11	male	8.802	16000	vnd.wave	bem	bem	Tuntu bamupangile utulepululuka mu mulu utwakuti aleangala asendwe amano	They use them them to make amusing things that fly high to amuse a crowd
10_0	1	4766164677.jpg	"10_0_01_210926-153117_bem_72c_elicit_0.wav
"	11	male	6.76	16000	vnd.wave	bem	bem	Umukashana no mulumendo baletolokela mu menshi.	A man and a lady are diving into water
10_1	2	4766164677.jpg	"10_1_02_210926-153130_bem_81c_elicit_0.wav
"	12	male	7.509	16000	vnd.wave	bem	bem	Umukashana uyu naimya amaboko ale nomba ninshi cinshi engemisha amaboko?	The lady has stretched her hands out why is it so?
10_2	1	4766164677.jpg	"10_2_01_210926-153117_bem_72c_elicit_1.wav
"	11	male	10.368	16000	vnd.wave	bem	bem	Emishe amaboko pamulandu wa kuti alefwaya ukutolokela apali.	It is because she is trying to jump to the ground
10_3	2	4766164677.jpg	"10_3_02_210926-153130_bem_81c_elicit_1.wav
"	12	male	6.738	16000	vnd.wave	bem	bem	Amenshi yalemoneka ayafiituluka. Bushe mumana uukulu olo mumana uunono?	The water seems a little dark, is this sea huge or small?
10_4	1	4766164677.jpg	"10_4_01_210926-153117_bem_72c_elicit_2.wav
"	11	male	12.614	16000	vnd.wave	bem	bem	Eco yalemonekala ayafitulukila nikumulandu wa kweba ukuti libemba ili, menshi nayafula.	The water looks like this because this sea is very big
110_0	1	66077389.jpg	"110_0_01_210929-124002_bem_81c_elicit_0.wav
"	11	male	8.598	16000	vnd.wave	bem	bem	Bakafundisha bali nabana balebafunda ukwimya amaboko  mu muulu.	An instructor is with his students teaching them to raise their hands
110_1	2	66077389.jpg	"110_1_02_210929-123839_bem_b21_elicit_0.wav
"	12	male	12.387	16000	vnd.wave	bem	bmb	Bushe ukwimya kwamaboko uku mafunde aya? Nangula cilemoneka kwati nababapanika abaice.	Is lifting hands a rule or has he punished them?
110_2	1	66077389.jpg	"110_2_01_210929-124002_bem_81c_elicit_1.wav
"	11	male	8.235	16000	vnd.wave	bem	bem	Iyo nakalya tababapanike nga namumona kafundisha uuli kunuma yabo kulya alemwentula.	No he hasn't punished them because there's another instructor behind smiling.
110_3	2	66077389.jpg	"110_3_02_210929-123839_bem_b21_elicit_1.wav
"	12	male	12.319	16000	vnd.wave	bem	bmb	Ninshi bengalabafunda ifyakwimya amaboko bushe ni kwisukulu uku bali nolo kwangala fye baleangala	Why would he be teaching them to lift their hands? Are they in school or are they just playing?
110_4	1	66077389.jpg	"110_4_01_210929-124002_bem_81c_elicit_2.wav
"	11	male	9.347	16000	vnd.wave	bem	bem	Ni kusukulu bali endita ee. Balebafunda ukulatota pa kwimba.	They are in school of course, he is teaching them to clap as they sing
111_0	1	3060537675.jpg	"111_0_01_210929-124314_bem_81c_elicit_0.wav
"	11	male	5.581	16000	vnd.wave	bem	bem	Umwana umulumendo ale-angala mumusebo.	A little boy is playing on the road
111_1	2	3060537675.jpg	"111_1_02_210929-124238_bem_b21_elicit_0.wav
"	12	male	11.661	16000	vnd.wave	bem	bmb	Bushe cinshi ekelepo umwana umulumendo uyu pantu cilemoneka kwati ali pa mwela.	What is he seated on? he seems to be suspended on air
111_2	1	3060537675.jpg	"111_2_01_210929-124314_bem_81c_elicit_1.wav
"	11	male	7.237	16000	vnd.wave	bem	bem	Iyo nakalya tali pa mwela nakwata eco aleshelemukapo.	No he isn't suspended on air at all, he is sliding on something
111_3	2	3060537675.jpg	"111_3_02_210929-124238_bem_b21_elicit_1.wav
"	12	male	9.211	16000	vnd.wave	bem	bmb	Nomba ninshi afulile isheti muncende iyaisuka so?	Then why is he shirtless in an open place?
111_4	1	3060537675.jpg	"111_4_01_210929-124314_bem_81c_elicit_2.wav
"	11	male	8.984	16000	vnd.wave	bem	bem	Afulile ishati ku mulandu wakweba ati nakukaba akasuba nakapya.	It is because it's very hot and sunny 
112_0	1	4692226909.jpg	"112_0_01_210929-124441_bem_81c_elicit_0.wav
"	11	male	7.827	16000	vnd.wave	bem	bem	Abakashana batatu bale-enda mumbali ya musepo mupepi nama shopu.	Three ladies are walking on the road side close to some shops
112_2	1	4692226909.jpg	"112_2_01_210929-124441_bem_81c_elicit_1.wav
"	11	male	10.027	16000	vnd.wave	bem	bem	Balelola ku restranti uko balaya balile icakulya ca bushiku.	They are heading to a restaurant to have supper 
112_3	2	4692226909.jpg	"112_3_02_210929-124357_bem_b21_elicit_1.wav
"	12	male	10.436	16000	vnd.wave	bem	bmb	Umukashana uyu uushalilile panuma alemoneka kwati alependa ifintu muminwe bushe ni ndalama shilya?	The lady behind seems to be counting something is that money?
112_4	1	4692226909.jpg	"112_4_01_210929-124441_bem_81c_elicit_2.wav
"	11	male	10.731	16000	vnd.wave	bem	bem	Ee kuti caba balependa impiya ukweba ati beshibe umutengo wa fyakulya balaya bakwanishe.	Yes, it should be, they are trying to see how much they will spend on food
113_0	1	4738563006.jpg	"113_0_01_210929-124713_bem_81c_elicit_0.wav
"	11	male	6.783	16000	vnd.wave	bem	bem	Umukashana alemwentula mukwikata icisabi icikalamba.	A lady is smiling as she is about to touch a big fish
113_1	2	4738563006.jpg	"113_1_02_210929-124621_bem_b21_elicit_0.wav
"	12	male	8.19	16000	vnd.wave	bem	bmb	Bushe lisabi lya shani ili ilyakula ifi ukulalingana no muntu kwaliba isabi lya so?	What sort of fish is this that is as huge as a person, does such fish exist?
113_2	1	4738563006.jpg	"113_2_01_210929-124713_bem_81c_elicit_1.wav
"	11	male	7.759	16000	vnd.wave	bem	bem	Endita, e eko lyaba isabi ilikalamba elyo lyena talimoneka moneka.	Yes it does though it's rare.
113_3	2	4738563006.jpg	"113_3_02_210929-124621_bem_b21_elicit_1.wav
"	12	male	11.661	16000	vnd.wave	bem	bmb	Umukashana wine alemoneka uwa nsansa ilyo aleikata icisabi bushe bukulu bwa cisabi bulemupapusha ubwalenga asangalale?	She looks very happy touching the fish, is she amazed by the size and that's why she's happy?
113_4	1	4738563006.jpg	"113_4_01_210929-124713_bem_81c_elicit_2.wav
"	11	male	8.848	16000	vnd.wave	bem	bem	Ee, ecilelenga nacimupesha amano ukumona icisabi eco alingene nankwe umubili.	Yes she's amazed to see a fish as big as her self.
114_0	1	5004253043.jpg	"114_0_01_210929-125126_bem_81c_elicit_0.wav
"	11	male	8.031	16000	vnd.wave	bem	bem	Bashi tata nabana mayo bali abamwentula.	Some men and ladies are smiling. 
114_1	2	5004253043.jpg	"114_1_02_210929-125117_bem_b21_elicit_0.wav
"	12	male	5.49	16000	vnd.wave	bem	bmb	Cinshi bekete aba bashitata na banamayo muminwe?	What are they holding in their hands?
114_2	1	5004253043.jpg	"114_2_01_210929-125126_bem_81c_elicit_1.wav
"	11	male	10.98	16000	vnd.wave	bem	bem	Bekete imfuti ishakwangasha isha menshi.	They have some toy guns they are playing with
114_3	2	5004253043.jpg	"114_3_02_210929-125117_bem_b21_elicit_1.wav
"	12	male	7.872	16000	vnd.wave	bem	bmb	Ngefi ifilemoneka ifya buta nokubekabeka pama beya yabo?	What of those white and shiny things on their shoulders?
114_4	1	5004253043.jpg	"114_4_01_210929-125126_bem_81c_elicit_2.wav
"	11	male	13.567	16000	vnd.wave	bem	bem	Ifyo ifyabuta bekwete fikete kwilaya ilyo bafwele ilyo babomfya pa kwangala ubwangalo ubo bwine.	The white things are stuck to their dresses that they are using to play this game
115_0	1	349889354.jpg	"115_0_01_210929-125328_bem_81c_elicit_0.wav
"	11	male	6.534	16000	vnd.wave	bem	bem	Umuntu alesamba no bwato mu menshi.	A person is playing with a boat on water
115_1	2	349889354.jpg	"115_1_02_210929-125233_bem_b21_elicit_0.wav
"	12	male	10.958	16000	vnd.wave	bem	bmb	Ibemba lya menshi ili lilemoneka iluku, bushe talyamuse umuntu uyu nokumwibisha?	The sea looks huge, won't the person drown?
115_2	1	349889354.jpg	"115_2_01_210929-125328_bem_81c_elicit_1.wav
"	11	male	11.752	16000	vnd.wave	bem	bem	Iyo nakalya balikanshiwa pakuya mukusamba kwi bemba lya menshi yamusango ulya.	No, they are able to swim for them to go to such a huge sea
115_3	2	349889354.jpg	"115_3_02_210929-125233_bem_b21_elicit_1.wav
"	12	male	7.691	16000	vnd.wave	bem	bmb	so ninshi umuntu uyu aleumfwa fye bwino ukulayangala pali bemba lya menshi ili?	Does this mean that he is happy to be playing in such water?
115_4	1	349889354.jpg	"115_4_01_210929-125328_bem_81c_elicit_2.wav
"	11	male	7.94	16000	vnd.wave	bem	bem	Endita, e eco elileko nimusangala, ukwangala pe bemba line ili .	Yes, that's why he is here to play in the sea.
116_0	1	192786590.jpg	"116_0_01_210929-143752_bmb_b21_elicit_0.wav
"	11	male	7.191	16000	vnd.wave	bmb	bem	Nabwinga nashibwinga bafuma muceci mukupalwa icupo cabo.	A bride and a groom are from having their wedding blessed in a church 
116_1	2	192786590.jpg	"116_1_02_210929-125503_bem_b21_elicit_0.wav
"	12	male	9.347	16000	vnd.wave	bem	bmb	Shibwinga na nabwinga uyu bali abansansa bushe emukuti baliitemwana sana?	They seem so happy, are they in love?
116_2	1	192786590.jpg	"116_2_01_210929-143752_bmb_b21_elicit_1.wav
"	11	male	9.324	16000	vnd.wave	bmb	bem	Endita ee, eco bopanine ni kumulandu wakuti balitemwana icine cine.	Yes of course, that's why they have gotten married.
116_3	2	192786590.jpg	"116_3_02_210929-125503_bem_b21_elicit_1.wav
"	12	male	8.553	16000	vnd.wave	bem	bmb	Ngoku ukuboko ukuli pamolu wa ka shibwinga uyu mwati ukuti kwaba kuboko kwaba nani? 	What of the hand over the groom, whose is it?
116_4	1	192786590.jpg	"116_4_01_210929-143752_bmb_b21_elicit_2.wav
"	11	male	8.689	16000	vnd.wave	bmb	bem	Uku ukuboko cipalile kwati kwaba shimapepo abalebapala icupo cabo.	It should be the priest's that's blessing their marriage.
117_0	1	1675485579.jpg	"117_0_01_210929-142249_bem_81c_elicit_0.wav
"	11	male	8.575	16000	vnd.wave	bem	bem	Shikulu bantu naikata icitabo icikulu.	A man is holding a huge book.
117_1	2	1675485579.jpg	"117_1_02_210929-142140_bem_b21_elicit_0.wav
"	12	male	7.214	16000	vnd.wave	bem	bmb	Bushe citabo ca shani ici icakula ifi elo finshi alecibomfesha uyu shikulu bantu?	What sort of book is this? It's so big what does he use it for?
117_2	1	1675485579.jpg	"117_2_01_210929-142249_bem_81c_elicit_1.wav
"	11	male	7.509	16000	vnd.wave	bem	bem	Ici ictabo calembwamo amafunde ayakukonka.	It is a book of rules to follow.
117_3	2	1675485579.jpg	"117_3_02_210929-142140_bem_b21_elicit_1.wav
"	12	male	5.785	16000	vnd.wave	bem	bmb	Ninshi uyu shitata nomba asalile fye ukwisa funda fye ubushiku?	But did he just choose to come and teach this late?
117_4	1	1675485579.jpg	"117_4_01_210929-142249_bem_81c_elicit_2.wav
"	11	male	5.671	16000	vnd.wave	bem	bem	Iyo nakalya enshita fye baumfwene fye ukukumana.	No, they certainly agreed to meet at this time.
118_0	1	961189263.jpg	"118_0_01_210929-142430_bem_81c_elicit_0.wav
"	11	male	5.808	16000	vnd.wave	bem	bem	Umwana umunono umulumendo aleanga mumatipa.	A little boy is playing in mud.
118_1	2	961189263.jpg	"118_1_02_210929-142337_bem_b21_elicit_0.wav
"	12	male	10.005	16000	vnd.wave	bem	bmb	Umwana wine naunfwa bwino alemoneka ali ne nsansa. Bushe kwangala mumatipa kulelenga ati omfwe bwino so?	The boy seems so happy, is it playing with mud that's making him this excited?
118_2	1	961189263.jpg	"118_2_01_210929-142430_bem_81c_elicit_1.wav
"	11	male	8.394	16000	vnd.wave	bem	bem	Namusosa umwana natemwa ukwangala mumatipa.	Yes, you are right, he is very excited to play in mud.
118_3	2	961189263.jpg	"118_3_02_210929-142337_bem_b21_elicit_1.wav
"	12	male	7.26	16000	vnd.wave	bem	bmb	Bushe ena nomba teshibe ati amenshi aya yafiko yali ne ndoti kuti aambula ubulwele?	Doesn't he know the water is dirty and can make him sick?
118_4	1	961189263.jpg	"118_4_01_210929-142430_bem_81c_elicit_2.wav
"	11	male	7.418	16000	vnd.wave	bem	bem	Iyo nakalya teshibe nangu panono pantu umwana munya.	No he doesn't, he is a baby.
119_0	1	2537601290.jpg	"119_0_01_210929-142602_bem_81c_elicit_0.wav
"	11	male	10.912	16000	vnd.wave	bem	bem	Shikulu bantu alekaka ifyela umupita ishitima.	A man is fixing rails.
119_1	2	2537601290.jpg	"119_1_02_210929-142642_bem_b21_elicit_0.wav
"	12	male	12.047	16000	vnd.wave	bem	bmb	Ifyela fipitamo ishitima fyaba ifyafina ala fyalilema nomba shitata uyu mwati kuti akwanisha ukukaka palwakwe? 	These rails look very heavy, will be manage alone?
119_2	1	2537601290.jpg	"119_2_01_210929-142602_bem_81c_elicit_1.wav
"	11	male	9.596	16000	vnd.wave	bem	bem	Iyo nakalya ali nababiye abalemwafwa abaliko akatalamukila tabalemonekela.	No, be has some people helping him at a distance.
119_3	2	2537601290.jpg	"119_3_02_210929-142642_bem_b21_elicit_1.wav
"	12	male	7.101	16000	vnd.wave	bem	bmb	Nge ci afwele mumatwi na kumutwe cimpompo canshi?	What about those things around his ears and the helmet what are they for?
119_4	1	2537601290.jpg	"119_4_01_210929-142602_bem_81c_elicit_2.wav
"	11	male	16.221	16000	vnd.wave	bem	bem	Ico afwele icimpompo ku mutwe  cakumucingilila  amasanso elyo ifyo ifili mumatwi fyakumucingilila icongo mu matwi.	The helmet is to protect his head from any injuries and the ear plugs are meant to protect his ears.
11_0	1	3656030945.jpg	"11_0_01_210926-153501_bem_72c_elicit_0.wav
"	11	male	6.239	16000	vnd.wave	bem	bem	Utubwa utunono baletusambika.	Puppies are being washed.
11_1	2	3656030945.jpg	"11_1_02_210926-153515_bem_81c_elicit_0.wav
"	12	male	7.26	16000	vnd.wave	bem	bem	Iminwe ishi ishilemoneka ishileitila utubwa amenshi, bushe sha mulumendo nelyo sha mukashana?	Are the hands washing the puppies male or female?
11_2	1	3656030945.jpg	"11_2_01_210926-153501_bem_72c_elicit_1.wav
"	11	male	8.144	16000	vnd.wave	bem	bem	Shamukashana kuti mwamwena fye ku maala yali ayalepalepa.	They are female, it's clear from the long nails.
11_3	2	3656030945.jpg	"11_3_02_210926-153515_bem_81c_elicit_1.wav
"	12	male	4.492	16000	vnd.wave	bem	bem	Ngomu baletusambila utubwa utu bushe ni mwisa?	Where are these puppies being washed from?
